country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,c1,c2
Lithuania,0.0763000026345253,0.15189999341964722,0.10740000009536743,0.08669999986886978,0.17239999771118164,0.10869999974966049,0.18459999561309814,0.1120000034570694,0.08460000157356262,0.1412000060081482,0.1160999983549118,0.10429999977350235,0.15299999713897705,0.12919999659061432,0.16359999775886536,0.10809999704360962,0.2653999924659729,0.08349999785423279,0.08150000125169754,0.16449999809265137,0.09390000253915787,0.09440000355243683,0.0989999994635582,0.11779999732971191,-0.44789657,-0.53792596
Latvia,0.10300000011920929,0.1251000016927719,0.11429999768733978,0.1257999986410141,0.14219999313354492,0.12919999659061432,0.14429999887943268,0.11599999666213989,0.07320000231266022,0.1550000011920929,0.10400000214576721,0.09640000015497208,0.18469999730587006,0.1273999959230423,0.1467999964952469,0.11249999701976776,0.09920000284910202,0.12520000338554382,0.10100000351667404,0.1339000016450882,0.13899999856948853,0.12489999830722809,0.15790000557899475,0.11900000274181366,-5.520067,-16.079945
Italy,0.06920000165700912,0.21580000221729279,0.12939999997615814,0.0575999990105629,0.14800000190734863,0.11060000211000443,0.16509999334812164,0.10429999977350235,0.10419999808073044,0.1216999962925911,0.14980000257492065,0.0778999999165535,0.15690000355243683,0.18400000035762787,0.12460000067949295,0.08079999685287476,0.6144999861717224,0.05290000140666962,0.052799999713897705,0.0494999997317791,0.05559999868273735,0.05550000071525574,0.051100000739097595,0.06800000369548798,9.533545,14.99475
Ireland,0.10130000114440918,0.11840000003576279,0.14740000665187836,0.11180000007152557,0.16840000450611115,0.12680000066757202,0.12349999696016312,0.10249999910593033,0.07680000364780426,0.13590000569820404,0.18369999527931213,0.09700000286102295,0.1550000011920929,0.15549999475479126,0.11640000343322754,0.0794999971985817,0.3869999945163727,0.06520000100135803,0.06549999862909317,0.20190000534057617,0.06509999930858612,0.06480000168085098,0.05660000070929527,0.09399999678134918,6.02324,5.762995
Hungary,0.11100000143051147,0.13770000636577606,0.12189999967813492,0.12520000338554382,0.13420000672340393,0.11800000071525574,0.13330000638961792,0.11869999766349792,0.0812000036239624,0.2249000072479248,0.09950000047683716,0.08900000154972076,0.10520000010728836,0.17759999632835388,0.0989999994635582,0.12370000034570694,0.16269999742507935,0.06360000371932983,0.05820000171661377,0.3959999978542328,0.0632999986410141,0.05869999900460243,0.06970000267028809,0.12780000269412994,-12.952704,1.6933956
Spain,0.04820000007748604,0.08489999920129776,0.10010000318288803,0.0568000003695488,0.44690001010894775,0.09589999914169312,0.07609999924898148,0.09109999984502792,0.03579999879002571,0.05849999934434891,0.07599999755620956,0.03779999911785126,0.5339000225067139,0.15479999780654907,0.05810000002384186,0.04500000178813934,0.23810000717639923,0.08760000020265579,0.11819999665021896,0.13120000064373016,0.10360000282526016,0.10400000214576721,0.10700000077486038,0.11029999703168869,-0.28430793,-4.6992936
Netherlands,0.06650000065565109,0.08820000290870667,0.43689998984336853,0.06360000371932983,0.07750000059604645,0.10599999874830246,0.07890000194311142,0.08240000158548355,0.044599998742341995,0.04830000177025795,0.6753000020980835,0.040300000458955765,0.04149999842047691,0.05510000139474869,0.0471000000834465,0.04780000075697899,0.3686999976634979,0.05260000005364418,0.08429999649524689,0.10100000351667404,0.044199999421834946,0.04619999974966049,0.1818999946117401,0.12110000103712082,1.5268538,8.426814
Poland,0.07349999994039536,0.13279999792575836,0.10570000112056732,0.09189999848604202,0.13619999587535858,0.10400000214576721,0.1624000072479248,0.19349999725818634,0.06279999762773514,0.1023000031709671,0.07429999858140945,0.05920000001788139,0.14139999449253082,0.09279999881982803,0.1062999963760376,0.3610000014305115,0.03099999949336052,0.025200000032782555,0.024299999698996544,0.028300000354647636,0.02500000037252903,0.025699999183416367,0.025299999862909317,0.8151000142097473,-14.564744,-12.86011
Portugal,0.09529999643564224,0.13089999556541443,0.13279999792575836,0.10819999873638153,0.1451999992132187,0.14059999585151672,0.14509999752044678,0.10189999639987946,0.060600001364946365,0.11509999632835388,0.11180000007152557,0.0803999975323677,0.21369999647140503,0.12680000066757202,0.21220000088214874,0.0794999971985817,0.4440000057220459,0.07050000131130219,0.07020000368356705,0.0989999994635582,0.0731000006198883,0.06840000301599503,0.08420000225305557,0.09049999713897705,5.631822,11.185023
Romania,0.09279999881982803,0.13740000128746033,0.12150000035762787,0.11490000039339066,0.1467999964952469,0.09610000252723694,0.19519999623298645,0.09529999643564224,0.07540000230073929,0.1354999989271164,0.11249999701976776,0.09290000051259995,0.16200000047683716,0.11789999902248383,0.19280000030994415,0.11110000312328339,0.13989999890327454,0.11649999767541885,0.10599999874830246,0.16459999978542328,0.1111999973654747,0.08990000188350677,0.1581999957561493,0.11379999667406082,-6.974127,-12.629459
Sweden,0.10010000318288803,0.12479999661445618,0.14790000021457672,0.11699999868869781,0.131400004029274,0.1282999962568283,0.14030000567436218,0.11020000278949738,0.06199999898672104,0.13169999420642853,0.16329999268054962,0.06939999759197235,0.11010000109672546,0.2973000109195709,0.09529999643564224,0.07079999893903732,0.22529999911785126,0.10000000149011612,0.1137000024318695,0.1574999988079071,0.09229999780654907,0.11479999870061874,0.0917000025510788,0.1046999990940094,-3.7421162,-4.045716
Slovenia,0.07649999856948853,0.14239999651908875,0.13189999759197235,0.11309999972581863,0.14820000529289246,0.15289999544620514,0.13840000331401825,0.09669999778270721,0.08079999685287476,0.13510000705718994,0.13699999451637268,0.10980000346899033,0.15299999713897705,0.16179999709129333,0.13490000367164612,0.0877000018954277,0.15150000154972076,0.07519999891519547,0.06639999896287918,0.37529999017715454,0.06499999761581421,0.08290000259876251,0.0723000019788742,0.11140000075101852,-15.907693,0.3430053
