country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,c1,c2
France,0.07559999823570251,0.12200000137090683,0.11869999766349792,0.06530000269412994,0.46209999918937683,0.08730000257492065,0.0689999982714653,0.07930000126361847,0.04859999939799309,0.36820000410079956,0.07609999924898148,0.07090000063180923,0.25380000472068787,0.1031000018119812,0.02800000086426735,0.11760000139474869,0.647599995136261,0.026399999856948853,0.12129999697208405,0.03449999913573265,0.024700000882148743,-1.1752402,-1.0264724
Malta,0.08760000020265579,0.11209999769926071,0.0966000035405159,0.08990000188350677,0.4300000071525574,0.10819999873638153,0.07569999992847443,0.18479999899864197,0.09759999811649323,0.13349999487400055,0.1136000007390976,0.14910000562667847,0.1876000016927719,0.13379999995231628,0.05829999968409538,0.588699996471405,0.07779999822378159,0.07000000029802322,0.07720000296831131,0.06849999725818634,0.05939999967813492,0.5010902,-9.461848
Luxembourg,0.11429999768733978,0.20319999754428864,0.10750000178813934,0.10589999705553055,0.2337000072002411,0.11659999936819077,0.11879999935626984,0.05050000175833702,0.025200000032782555,0.08479999750852585,0.08079999685287476,0.03460000082850456,0.5771999955177307,0.14710000157356262,0.11580000072717667,0.26660001277923584,0.11069999635219574,0.1088000014424324,0.17239999771118164,0.1096000000834465,0.11599999666213989,0.03902691,-1.5209142
Lithuania,0.1005999967455864,0.15710000693798065,0.07479999959468842,0.25519999861717224,0.2793000042438507,0.06620000302791595,0.06679999828338623,0.025100000202655792,0.022600000724196434,0.026499999687075615,0.8521000146865845,0.016899999231100082,0.028699999675154686,0.02810000069439411,0.0560000017285347,0.6776999831199646,0.05130000039935112,0.08500000089406967,0.044199999421834946,0.0406000018119812,0.045099999755620956,0.50256664,-10.665375
Italy,0.08219999819993973,0.13179999589920044,0.14169999957084656,0.08070000261068344,0.39340001344680786,0.08179999887943268,0.08829999715089798,0.06549999862909317,0.02889999933540821,0.5914999842643738,0.07819999754428864,0.03579999879002571,0.07699999958276749,0.12319999933242798,0.10520000010728836,0.3294000029563904,0.10300000011920929,0.09570000320672989,0.19259999692440033,0.0803999975323677,0.09359999746084213,0.5623791,-2.3337345
Ireland,0.09359999746084213,0.1120000034570694,0.08550000190734863,0.10180000215768814,0.35749998688697815,0.16519999504089355,0.0843999981880188,0.06310000270605087,0.02370000071823597,0.06520000100135803,0.07540000230073929,0.03840000182390213,0.6646000146865845,0.06960000097751617,0.08699999749660492,0.4442000091075897,0.07660000026226044,0.07689999788999557,0.14480000734329224,0.08990000188350677,0.08049999922513962,0.009189533,-5.4558973
Hungary,0.12240000069141388,0.14259999990463257,0.10300000011920929,0.12600000202655792,0.3077999949455261,0.1006999984383583,0.09759999811649323,0.25619998574256897,0.06109999865293503,0.12099999934434891,0.1509999930858612,0.08720000088214874,0.12680000066757202,0.19670000672340393,0.08269999921321869,0.5339999794960022,0.07500000298023224,0.06840000301599503,0.10740000009536743,0.06400000303983688,0.06849999725818634,0.070854425,-8.067085
Spain,0.09130000323057175,0.1111999973654747,0.26010000705718994,0.15780000388622284,0.16850000619888306,0.121799997985363,0.0892999991774559,0.038100000470876694,0.029899999499320984,0.7669000029563904,0.05530000105500221,0.028200000524520874,0.04749999940395355,0.03400000184774399,0.0771000012755394,0.44909998774528503,0.12349999696016312,0.07280000299215317,0.14319999516010284,0.06480000168085098,0.06939999759197235,0.69685334,-5.407693
Netherlands,0.08749999850988388,0.07649999856948853,0.11209999769926071,0.07209999859333038,0.14740000665187836,0.31130000948905945,0.1931000053882599,0.08380000293254852,0.05660000070929527,0.10199999809265137,0.08320000022649765,0.07360000163316727,0.34200000762939453,0.25870001316070557,0.07100000232458115,0.5285000205039978,0.0737999975681305,0.06019999831914902,0.10289999842643738,0.07980000227689743,0.08380000293254852,0.35296762,-7.9460073
Poland,0.14169999957084656,0.14710000157356262,0.10360000282526016,0.1225999966263771,0.2619999945163727,0.0982000008225441,0.12489999830722809,0.17820000648498535,0.03099999949336052,0.07530000060796738,0.16030000150203705,0.03400000184774399,0.07370000332593918,0.4474000036716461,0.08739999681711197,0.6035000085830688,0.06210000067949295,0.062199998646974564,0.07109999656677246,0.04800000041723251,0.065700002014637,0.17393818,-9.791544
Portugal,0.07800000160932541,0.06710000336170197,0.20059999823570251,0.08340000361204147,0.3725000023841858,0.10949999839067459,0.08879999816417694,0.043299999088048935,0.022299999371170998,0.7017999887466431,0.0714000016450882,0.024399999529123306,0.08250000327825546,0.05429999902844429,0.09920000284910202,0.33390000462532043,0.11180000007152557,0.1006999984383583,0.1809999942779541,0.0885000005364418,0.08489999920129776,0.2960971,-2.48166
Romania,0.1006999984383583,0.20720000565052032,0.08590000122785568,0.07559999823570251,0.37389999628067017,0.07419999688863754,0.08240000158548355,0.19110000133514404,0.045099999755620956,0.17409999668598175,0.22190000116825104,0.06129999831318855,0.1234000027179718,0.18310000002384186,0.08240000158548355,0.5052000284194946,0.07450000196695328,0.0803999975323677,0.10589999705553055,0.0714000016450882,0.08020000159740448,0.23860367,-7.3502088
Sweden,0.09139999747276306,0.15000000596046448,0.07660000026226044,0.07660000026226044,0.41839998960494995,0.08110000193119049,0.10589999705553055,0.07970000058412552,0.032600000500679016,0.07159999758005142,0.08940000087022781,0.04280000180006027,0.2387000024318695,0.44519999623298645,0.07509999722242355,0.5113000273704529,0.066600002348423,0.05959999933838844,0.15459999442100525,0.06319999694824219,0.06960000097751617,-0.54190403,-7.0968933
Slovenia,0.1200999990105629,0.09889999777078629,0.07530000060796738,0.1143999993801117,0.4090000092983246,0.09040000289678574,0.09179999679327011,0.15620000660419464,0.05950000137090683,0.13600000739097595,0.28610000014305115,0.08659999817609787,0.1193000003695488,0.15629999339580536,0.08590000122785568,0.501800000667572,0.08489999920129776,0.07400000095367432,0.11060000211000443,0.06469999998807907,0.07819999754428864,0.10487902,-7.2301135
Slovakia,0.14890000224113464,0.18700000643730164,0.08829999715089798,0.09399999678134918,0.31049999594688416,0.09769999980926514,0.07360000163316727,0.661300003528595,0.03660000115633011,0.07699999958276749,0.07360000163316727,0.04600000008940697,0.052799999713897705,0.05270000174641609,0.10610000044107437,0.6182000041007996,0.061900001019239426,0.057100001722574234,0.038100000470876694,0.0625,0.05609999969601631,-0.055858273,-10.172463
