country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,c1,c2
France,0.07779999822378159,0.10409999638795853,0.07500000298023224,0.06400000303983688,0.15000000596046448,0.1054999977350235,0.09399999678134918,0.25220000743865967,0.07739999890327454,0.062199998646974564,0.03959999978542328,0.13189999759197235,0.08330000191926956,0.04839999973773956,0.061900001019239426,0.06549999862909317,0.2395000010728836,0.2678000032901764,0.02319999970495701,0.02319999970495701,0.0333000011742115,0.026100000366568565,0.021299999207258224,0.02250000089406967,0.02370000071823597,0.7978000044822693,0.028999999165534973,9.935624,9.034401
Malta,0.09160000085830688,0.10379999876022339,0.08240000158548355,0.07829999923706055,0.14309999346733093,0.15880000591278076,0.10249999910593033,0.15610000491142273,0.08340000361204147,0.11699999868869781,0.07450000196695328,0.11800000071525574,0.10679999738931656,0.07729999721050262,0.16140000522136688,0.10639999806880951,0.09589999914169312,0.14270000159740448,0.061000000685453415,0.44359999895095825,0.058800000697374344,0.06289999932050705,0.06859999895095825,0.0674000009894371,0.06270000338554382,0.11559999734163284,0.05920000001788139,-5.265549,-24.071419
Luxembourg,0.10279999673366547,0.13339999318122864,0.09139999747276306,0.09030000120401382,0.14419999718666077,0.11590000241994858,0.10909999907016754,0.11400000005960464,0.09889999777078629,0.04600000008940697,0.02850000001490116,0.08590000122785568,0.07810000330209732,0.03929999843239784,0.05920000001788139,0.05640000104904175,0.04470000043511391,0.5619000196456909,0.10350000113248825,0.15620000660419464,0.09130000323057175,0.09210000187158585,0.1264999955892563,0.11339999735355377,0.10689999908208847,0.11599999666213989,0.09399999678134918,-4.4874663,10.792028
Lithuania,0.09830000251531601,0.12309999763965607,0.0722000002861023,0.18850000202655792,0.1761000007390976,0.08529999852180481,0.09560000151395798,0.09520000219345093,0.0658000037074089,0.024399999529123306,0.024800000712275505,0.029999999329447746,0.7900999784469604,0.0215000007301569,0.023099999874830246,0.02449999935925007,0.02710000053048134,0.03460000082850456,0.05660000070929527,0.5591999888420105,0.04910000041127205,0.07500000298023224,0.05180000141263008,0.04960000142455101,0.05220000073313713,0.06480000168085098,0.04170000180602074,-8.035709,-28.251091
Italy,0.08449999988079071,0.10360000282526016,0.12129999697208405,0.07039999961853027,0.25279998779296875,0.09769999980926514,0.09839999675750732,0.09309999644756317,0.07819999754428864,0.04839999973773956,0.02889999933540821,0.545799970626831,0.07240000367164612,0.03840000182390213,0.04540000110864639,0.054099999368190765,0.060100000351667404,0.10639999806880951,0.10459999740123749,0.19429999589920044,0.08540000021457672,0.08290000259876251,0.14830000698566437,0.09440000355243683,0.09780000150203705,0.11640000343322754,0.07590000331401825,-4.5797286,5.395283
Ireland,0.08550000190734863,0.09640000015497208,0.08139999955892563,0.08910000324249268,0.14509999752044678,0.21739999949932098,0.10520000010728836,0.08829999715089798,0.09160000085830688,0.04349999874830246,0.021900000050663948,0.08720000088214874,0.08009999990463257,0.028300000354647636,0.27959999442100525,0.0494999997317791,0.03700000047683716,0.37290000915527344,0.08889999985694885,0.274399995803833,0.07159999758005142,0.07199999690055847,0.12250000238418579,0.11069999635219574,0.0892999991774559,0.09719999879598618,0.07339999824762344,-0.072532006,-6.038522
Hungary,0.10459999740123749,0.11339999735355377,0.09369999915361404,0.10459999740123749,0.16590000689029694,0.11640000343322754,0.11400000005960464,0.09950000047683716,0.08810000121593475,0.14550000429153442,0.05770000070333481,0.11249999701976776,0.1412000060081482,0.07639999687671661,0.11469999700784683,0.1420000046491623,0.08349999785423279,0.1264999955892563,0.0877000018954277,0.33180001378059387,0.06909999996423721,0.06650000065565109,0.10660000145435333,0.08579999953508377,0.08579999953508377,0.10400000214576721,0.06279999762773514,-0.67741764,-15.000819
Spain,0.07840000092983246,0.08720000088214874,0.2102999985218048,0.11749999970197678,0.11410000175237656,0.09679999947547913,0.11190000176429749,0.08330000191926956,0.10050000250339508,0.029100000858306885,0.0284000001847744,0.7297999858856201,0.04149999842047691,0.029400000348687172,0.029999999329447746,0.031599998474121094,0.03920000046491623,0.041099999099969864,0.08349999785423279,0.2231999933719635,0.09160000085830688,0.06679999828338623,0.1899999976158142,0.07569999992847443,0.08150000125169754,0.12620000541210175,0.061500001698732376,3.411771,1.3872123
Netherlands,0.07880000025033951,0.06080000102519989,0.09120000153779984,0.07370000332593918,0.08380000293254852,0.20329999923706055,0.1103999987244606,0.09709999710321426,0.20090000331401825,0.07249999791383743,0.051500000059604645,0.09880000352859497,0.08669999986886978,0.0658000037074089,0.16030000150203705,0.10740000009536743,0.07259999960660934,0.2842999994754791,0.0723000019788742,0.3174000084400177,0.06689999997615814,0.05990000069141388,0.09560000151395798,0.1185000017285347,0.09570000320672989,0.1062999963760376,0.0674000009894371,-4.9570265,-11.265653
Poland,0.10830000042915344,0.11190000176429749,0.093299999833107,0.10100000351667404,0.14350000023841858,0.1103999987244606,0.15770000219345093,0.08959999680519104,0.0843999981880188,0.06400000303983688,0.02500000037252903,0.08340000361204147,0.16619999706745148,0.02850000001490116,0.03620000183582306,0.45010000467300415,0.0364999994635582,0.11010000109672546,0.09049999713897705,0.44620001316070557,0.05609999969601631,0.058800000697374344,0.07680000364780426,0.060600001364946365,0.07450000196695328,0.0869000032544136,0.049400001764297485,-1.3470092,-24.689867
Portugal,0.08500000089406967,0.0649000033736229,0.17299999296665192,0.07240000367164612,0.19370000064373016,0.12290000170469284,0.10779999941587448,0.0835999995470047,0.09669999778270721,0.040699999779462814,0.025499999523162842,0.618399977684021,0.0617000013589859,0.03180000185966492,0.034299999475479126,0.038100000470876694,0.031300000846385956,0.11810000240802765,0.09709999710321426,0.21739999949932098,0.09730000048875809,0.08529999852180481,0.13259999454021454,0.10100000351667404,0.09650000184774399,0.09510000050067902,0.07779999822378159,-1.3561567,2.9678352
Romania,0.10010000318288803,0.14749999344348907,0.08079999685287476,0.06870000064373016,0.23420000076293945,0.0997999981045723,0.10859999805688858,0.09160000085830688,0.06849999725818634,0.10589999705553055,0.04149999842047691,0.17900000512599945,0.19009999930858612,0.061400000005960464,0.06949999928474426,0.15629999339580536,0.05770000070333481,0.13860000669956207,0.09000000357627869,0.3133000135421753,0.07129999995231628,0.07400000095367432,0.11320000141859055,0.08470000326633453,0.09099999815225601,0.09390000253915787,0.06870000064373016,-0.92917836,-11.011787
