country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,c1,c2
Ireland,0.06800000369548798,0.1137000024318695,0.05169999971985817,0.06849999725818634,0.5217999815940857,0.1762000024318695,0.06270000338554382,0.011300000362098217,0.07199999690055847,0.03620000183582306,0.02969999983906746,0.7879999876022339,0.04479999840259552,0.7073000073432922,0.04309999942779541,0.046799998730421066,0.09139999747276306,0.066600002348423,-9.030639,16.881498
Hungary,0.11509999632835388,0.1673000007867813,0.07419999688863754,0.11590000241994858,0.4577000141143799,0.06970000267028809,0.5019000172615051,0.034299999475479126,0.16339999437332153,0.11389999836683273,0.06939999759197235,0.11710000038146973,0.03970000147819519,0.8051000237464905,0.03480000048875809,0.03909999877214432,0.049400001764297485,0.03200000151991844,19.074493,39.257027
Spain,0.07559999823570251,0.13120000064373016,0.314300000667572,0.16429999470710754,0.2110999971628189,0.10350000113248825,0.02410000003874302,0.03819999843835831,0.8438000082969666,0.04780000075697899,0.019999999552965164,0.026100000366568565,0.041200000792741776,0.6983000040054321,0.07779999822378159,0.07069999724626541,0.07180000096559525,0.04039999842643738,-5.384536,0.7858386
Netherlands,0.0568000003695488,0.06440000236034393,0.07400000095367432,0.048500001430511475,0.15219999849796295,0.6040999889373779,0.06449999660253525,0.03550000116229057,0.10869999974966049,0.0478999987244606,0.0471000000834465,0.6963000297546387,0.03610000014305115,0.7484999895095825,0.041999999433755875,0.03779999911785126,0.05339999869465828,0.08219999819993973,3.9324284,25.66344
Poland,0.2272000014781952,0.18029999732971191,0.061000000685453415,0.09359999746084213,0.3682999908924103,0.06960000097751617,0.7476000189781189,0.01489999983459711,0.05920000001788139,0.05050000175833702,0.02160000056028366,0.10620000213384628,0.06480000168085098,0.7940999865531921,0.03370000049471855,0.04699999839067459,0.03400000184774399,0.026399999856948853,12.511661,45.595882
Portugal,0.04089999943971634,0.04270000010728836,0.16189999878406525,0.053300000727176666,0.637499988079071,0.06369999796152115,0.01979999989271164,0.012600000016391277,0.9034000039100647,0.024399999529123306,0.013500000350177288,0.02630000002682209,0.05719999969005585,0.5170000195503235,0.07890000194311142,0.07029999792575836,0.21690000593662262,0.05979999899864197,-16.280657,-37.220543
Romania,0.062199998646974564,0.35580000281333923,0.06719999760389328,0.052000001072883606,0.4196000099182129,0.04340000078082085,0.24699999392032623,0.034699998795986176,0.4810999929904938,0.13979999721050262,0.04259999841451645,0.05480000004172325,0.039799999445676804,0.7781999707221985,0.04170000180602074,0.04749999940395355,0.053700000047683716,0.03889999911189079,12.036065,33.873096
Sweden,0.05180000141263008,0.2515999972820282,0.06989999860525131,0.043699998408555984,0.5331000089645386,0.04989999905228615,0.08349999785423279,0.018200000748038292,0.5361999869346619,0.03530000150203705,0.034299999475479126,0.2924000024795532,0.03550000116229057,0.7821000218391418,0.03519999980926514,0.0340999998152256,0.07989999651908875,0.03310000151395798,4.8881392,39.10909
Slovenia,0.09610000252723694,0.08720000088214874,0.06289999932050705,0.0649000033736229,0.6335999965667725,0.055399999022483826,0.23849999904632568,0.03680000081658363,0.35499998927116394,0.20980000495910645,0.08139999955892563,0.07850000262260437,0.05779999867081642,0.7106999754905701,0.05590000003576279,0.06700000166893005,0.0632999986410141,0.04529999941587448,-0.5259752,8.292484
Slovakia,0.15109999477863312,0.310699999332428,0.05169999971985817,0.07119999825954437,0.3301999866962433,0.08500000089406967,0.8356999754905701,0.03009999915957451,0.031300000846385956,0.05040000006556511,0.028699999675154686,0.023800000548362732,0.1151999980211258,0.7502999901771545,0.04179999977350235,0.030300000682473183,0.017500000074505806,0.04490000009536743,24.913689,21.407438
