country,NO&T Renovation plan,NO&T EU transport directive,NO&T National saving fund,NO&T Renewable energy target,P&M Renovation plan,P&M EU transport directive,P&M National saving fund,P&M Renewable energy target,CS&RP Renovation plan,CS&RP EU transport directive,CS&RP National saving fund,CS&RP Renewable energy target,c1,c2,u1,u2
Italy,0.1738000065088272,0.5339999794960022,0.1330000013113021,0.1591999977827072,0.4332000017166137,0.1905000060796737,0.2985000014305115,0.0777999982237815,0.1173999980092048,0.3621000051498413,0.1006999984383583,0.4196999967098236,29.774225,26.267204,-4.3328395,4.6318774
Ireland,0.2387000024318695,0.2991000115871429,0.2252999991178512,0.2369000017642974,0.4190999865531921,0.1515000015497207,0.3156000077724457,0.1137999966740608,0.1634999960660934,0.2824999988079071,0.1680999994277954,0.3858000040054321,-0.33447376,20.094307,-0.8989072,0.07915221
Hungary,0.2065999954938888,0.3147999942302704,0.2446999996900558,0.2338999956846237,0.2635000050067901,0.1732999980449676,0.4022000133991241,0.1609999984502792,0.1326999962329864,0.1858000010251999,0.1307999938726425,0.5507000088691711,-25.43824,-9.004631,4.7584524,-4.069864
Spain,0.2078000009059906,0.3224999904632568,0.2273000031709671,0.2423000037670135,0.4704000055789947,0.0687000006437301,0.3824000060558319,0.0785999968647956,0.1138999983668327,0.1648000031709671,0.1190000027418136,0.6022999882698059,-32.763813,6.835252,5.7019506,-4.159891
Netherlands,0.2067999988794326,0.4074000120162964,0.1942999958992004,0.1914999932050705,0.4855999946594238,0.1700000017881393,0.2128999978303909,0.1316000074148178,0.1379999965429306,0.3650000095367431,0.1344999969005584,0.3623999953269958,17.42234,28.692617,-3.5458004,3.612822
Poland,0.192900002002716,0.3325999975204468,0.2213000059127807,0.2531999945640564,0.2187999933958053,0.12950000166893,0.5241000056266785,0.1275999993085861,0.1059999987483024,0.209999993443489,0.0986000001430511,0.5853999853134155,-28.732584,-21.788158,5.2251377,-4.0767813
Portugal,0.2012999951839447,0.3752000033855438,0.2143999934196472,0.2091999948024749,0.3463999927043915,0.1384000033140182,0.4013999998569488,0.1138999983668327,0.125900000333786,0.4277999997138977,0.1119000017642974,0.3343000113964081,26.861109,5.516282,-4.198614,4.4673924
Romania,0.182899996638298,0.336899995803833,0.1923999935388565,0.2879000008106231,0.2696999907493591,0.1781000047922134,0.4072999954223633,0.1448999941349029,0.1720999926328659,0.2867999970912933,0.1711000055074691,0.3700000047683716,2.4725797,-7.5595217,-1.1355128,0.46927986
Sweden,0.1820999979972839,0.4325999915599823,0.1705999970436096,0.214599996805191,0.4523999989032745,0.2474000006914138,0.2114000022411346,0.0887999981641769,0.1844999939203262,0.3052999973297119,0.1873999983072281,0.3228000104427337,21.999998,37.423798,-3.943046,4.046298
Slovenia,0.2188999950885772,0.2856000065803528,0.2396000027656555,0.2558000087738037,0.4550999999046325,0.0841000005602836,0.3501999974250793,0.1106000021100044,0.0912000015377998,0.0947000011801719,0.0984999984502792,0.7156000137329102,-41.140762,10.555088,5.974693,-4.003631
Slovakia,0.1811999976634979,0.3589999973773956,0.2150000035762787,0.2448000013828277,0.2781000137329101,0.0668999999761581,0.5814999938011169,0.0734999999403953,0.1464000046253204,0.1913000047206878,0.1501999944448471,0.5120999813079834,-21.459654,-31.465534,4.375337,-3.7575564
