country,NO&T Public renovation support.,NO&T Primary energy increase,NO&T Renewable energy sources,P&M Public renovation support.,P&M Primary energy increase,P&M Renewable energy sources,CS&RP Public renovation support.,CS&RP Primary energy increase,CS&RP Renewable energy sources,c1,c2,u1,u2
Luxembourg,0.2300000041723251,0.4717999994754791,0.2982000112533569,0.6003999710083008,0.1333000063896179,0.2662999927997589,0.1305000036954879,0.7111999988555908,0.1582999974489212,3.5561507,-12.448167,22.16097,0.059779346
Lithuania,0.2845000028610229,0.3300000131130218,0.3856000006198883,0.2734000086784363,0.0989999994635582,0.6276000142097473,0.2162999957799911,0.3856000006198883,0.3980999886989593,-0.1492126,15.152932,2.9822528,0.9445937
Latvia,0.2572000026702881,0.3806999921798706,0.362199991941452,0.4471000134944916,0.1396999955177307,0.4131999909877777,0.1415999978780746,0.6363000273704529,0.2221000045537948,3.8408844,3.0654597,21.831804,-0.19327109
Italy,0.2208999991416931,0.5939000248908997,0.1852999925613403,0.7143999934196472,0.1225000023841857,0.163100004196167,0.1114000007510185,0.7781999707221985,0.1103999987244606,4.573375,-18.32632,21.599924,-0.8566979
Ireland,0.3086000084877014,0.3695000112056732,0.3219000101089477,0.6136000156402588,0.1097000017762184,0.2766999900341034,0.1794999986886978,0.5942000150680542,0.2263000011444091,-2.310669,-8.091754,4.473386,1.5351548
Hungary,0.2504999935626983,0.3531999886035919,0.3962999880313873,0.4083999991416931,0.1491000056266784,0.4424999952316284,0.1395999938249588,0.6959999799728394,0.1644999980926513,6.537632,4.697781,21.41264,-2.0744958
Spain,0.2563000023365021,0.3680999875068664,0.3756000101566314,0.7903000116348267,0.0790999978780746,0.1306000053882599,0.1128999963402748,0.7394000291824341,0.1476999968290329,-1.1334438,-15.277067,3.798059,1.1117624
Netherlands,0.2391999959945678,0.4068999886512756,0.3538999855518341,0.6227999925613403,0.1513999998569488,0.2257999926805496,0.139500007033348,0.6894999742507935,0.1710000038146972,1.1530417,-10.374881,20.770329,0.9548815
Poland,0.2232999950647354,0.418500006198883,0.3582000136375427,0.2996000051498413,0.096000000834465,0.6043999791145325,0.1064999997615814,0.7695000171661377,0.123999997973442,8.336322,10.844743,21.168333,-2.1063082
Portugal,0.243599995970726,0.3792999982833862,0.3770999908447265,0.6180999875068665,0.1180000007152557,0.2639000117778778,0.120899997651577,0.7598000168800354,0.1193000003695488,5.127956,-9.499658,21.649511,-1.285996
Romania,0.2137999981641769,0.4812999963760376,0.3048999905586242,0.4045999944210052,0.13680000603199,0.4586000144481659,0.1886000037193298,0.5999000072479248,0.2116000056266784,1.1346915,6.351109,20.56682,1.513955
Sweden,0.2113000005483627,0.531000018119812,0.2576999962329864,0.6383000016212463,0.1615000069141388,0.200200006365776,0.2055999934673309,0.5536999702453613,0.2407000064849853,-6.789957,-4.9843,8.123282,0.34109917
Slovenia,0.2572000026702881,0.3030000030994415,0.4397999942302704,0.7207000255584717,0.0772999972105026,0.202000007033348,0.0888999998569488,0.5284000039100647,0.3828000128269195,-8.335447,-12.736413,8.259802,0.6877348
Slovakia,0.2116000056266784,0.4354000091552734,0.3528999984264374,0.593999981880188,0.0687000006437301,0.3373000025749206,0.165800005197525,0.6498000025749207,0.1844000071287155,2.4845612,-5.7334347,21.381231,0.96362054
