country,NO&T renewable energy sources,NO&T National gas security,NO&T Capacity market development,P&M renewable energy sources,P&M National gas security,P&M Capacity market development,CS&RP renewable energy sources,CS&RP National gas security,CS&RP Capacity market development,c1,c2,u1,u2
France,0.3043000102043152,0.3470000028610229,0.3486999869346618,0.1784999966621399,0.2876000106334686,0.5339000225067139,0.2036000043153762,0.0309999994933605,0.7653999924659729,95.81473,-55.161633,2.616473,15.592999
Malta,0.257099986076355,0.3436000049114227,0.3993000090122223,0.0432999990880489,0.8840000033378601,0.0727000012993812,0.5741000175476074,0.1942999958992004,0.2317000031471252,-109.94294,-26.486633,6.6301155,-0.69549835
Luxembourg,0.2822999954223633,0.4720000028610229,0.2458000034093856,0.1225999966263771,0.7207000255584717,0.156700000166893,0.54339998960495,0.2436999976634979,0.2128999978303909,-43.410103,-50.327595,8.622427,-1.1595429
Lithuania,0.2712999880313873,0.4785999953746795,0.2500999867916107,0.1269000023603439,0.6128000020980835,0.2601999938488006,0.6572999954223633,0.1460999995470047,0.1967000067234039,-20.930428,-23.868898,2.7947962,12.192483
Latvia,0.4984000027179718,0.2296999990940094,0.2718999981880188,0.1899999976158142,0.3309000134468078,0.4790999889373779,0.6972000002861023,0.1796000003814697,0.1231999993324279,50.36755,86.07526,3.0430796,14.383323
Italy,0.0917999967932701,0.1607999950647354,0.7473999857902527,0.0788000002503395,0.5925999879837036,0.3285999894142151,0.724399983882904,0.1353999972343444,0.1402000039815902,-53.297916,57.414352,8.467878,-0.34987074
Ireland,0.154799997806549,0.684499979019165,0.1606999933719635,0.0948999971151351,0.7598999738693237,0.1451999992132187,0.8233000040054321,0.0891000032424926,0.0876000002026557,-36.902573,-117.61809,8.259703,-1.1112984
Hungary,0.1854999959468841,0.0970999971032142,0.7174000144004822,0.0300999991595745,0.0653000026941299,0.9046000242233276,0.8464000225067139,0.0461000017821788,0.1075000017881393,140.0069,69.93688,2.3417437,16.052954
Spain,0.4551999866962433,0.2917999923229217,0.2529999911785126,0.0819000005722045,0.7642999887466431,0.1537999957799911,0.5583000183105469,0.2869000136852264,0.154799997806549,-79.61292,-40.75667,6.877526,-0.86137426
Netherlands,0.4557999968528747,0.2319999933242797,0.3122000098228454,0.289900004863739,0.4153000116348266,0.2948000133037567,0.786300003528595,0.094200000166893,0.119499996304512,8.192534,60.249878,2.8770356,12.899084
Poland,0.2881999909877777,0.1347000002861023,0.5770999789237976,0.0428000018000602,0.1011999994516372,0.8560000061988831,0.9083999991416932,0.0293000005185604,0.0621999986469745,112.99654,81.08475,2.286477,15.753146
Portugal,0.3003999888896942,0.2716000080108642,0.4280000030994415,0.0696000009775161,0.7070000171661377,0.2234999984502792,0.7585999965667725,0.1389999985694885,0.1023999974131584,-61.279613,19.823149,7.606778,-0.6638527
Romania,0.221900001168251,0.1772000044584274,0.6008999943733215,0.0551000013947486,0.1316000074148178,0.8133000135421753,0.6970000267028809,0.1407999992370605,0.162100002169609,118.392426,48.98623,2.037437,15.560783
Sweden,0.1121999993920326,0.6897000074386597,0.1981000006198883,0.067900002002716,0.8259000182151794,0.1062000021338462,0.776199996471405,0.0971999987959861,0.1265999972820282,-68.60074,-113.77347,7.186224,-0.9894753
Slovenia,0.3957999944686889,0.2186000049114227,0.3856000006198883,0.2784000039100647,0.3912000060081482,0.3303000032901764,0.7821999788284302,0.0948999971151351,0.1229000017046928,19.309994,83.459694,2.8079627,13.295919
Slovakia,0.0472000017762184,0.5371999740600586,0.4156000018119812,0.0903000012040138,0.3528999984264374,0.5566999912261963,0.3765000104904175,0.1492000073194503,0.4742999970912933,70.199615,-50.410984,2.8308592,14.95003
