country,NO&T National electricity policy,NO&T Electricity consumption and waste,NO&T Climate change policy,P&M National electricity policy,P&M Electricity consumption and waste,P&M Climate change policy,CS&RP National electricity policy,CS&RP Electricity consumption and waste,CS&RP Climate change policy,c1,c2,u1,u2
France,0.3353999853134155,0.5166000127792358,0.1480000019073486,0.5393999814987183,0.0751999989151954,0.3853999972343445,0.7727000117301941,0.1926999986171722,0.0346000008285045,-46.33577,47.99658,-3.3875341,-7.6563807
Malta,0.2847000062465668,0.5156999826431274,0.1996999979019165,0.2962999939918518,0.2549000084400177,0.4487999975681305,0.1288000047206878,0.7675999999046326,0.1036000028252601,-27.375275,23.55716,-3.3406382,-6.3934894
Luxembourg,0.2164999991655349,0.5626999735832214,0.2206999957561493,0.1172000020742416,0.0368999987840652,0.8458999991416931,0.2106000036001205,0.5924999713897705,0.1968999952077865,15.1738405,-32.475834,16.248503,2.5485246
Lithuania,0.2046999931335449,0.5690000057220459,0.2263000011444091,0.0992999970912933,0.0857999995350837,0.8148999810218811,0.0716999992728233,0.8553000092506409,0.0729999989271164,37.9554,1.939992,14.26719,3.9041543
Italy,0.3777999877929687,0.490799993276596,0.131400004029274,0.7696999907493591,0.0390000008046627,0.1913000047206878,0.1977999955415725,0.6762999892234802,0.125900000333786,-60.93176,31.663322,-3.7584739,-8.410522
Ireland,0.1733999997377395,0.491100013256073,0.3355999886989593,0.1128000020980835,0.0381000004708766,0.8489999771118164,0.1190999969840049,0.7506999969482422,0.1301999986171722,29.785408,-11.395267,15.030845,3.5594125
Hungary,0.2424000054597854,0.5073999762535095,0.2500999867916107,0.2836999893188476,0.12950000166893,0.586899995803833,0.1040000021457672,0.8079000115394592,0.0881000012159347,-15.512302,17.119114,-3.6621923,-5.9990964
Spain,0.5110999941825867,0.2547000050544739,0.2342000007629394,0.8787999749183655,0.0401999987661838,0.0810000002384185,0.1959999948740005,0.7117000222206116,0.092299997806549,-73.87506,28.216974,-3.8744526,-8.7431345
Netherlands,0.2296999990940094,0.190200001001358,0.5800999999046326,0.1765999943017959,0.0934000015258789,0.7299000024795532,0.1101000010967254,0.7746999859809875,0.1151999980211258,19.9828,23.102999,15.66695,2.9177618
Poland,0.2524000108242035,0.5022000074386597,0.245399996638298,0.1704999953508377,0.0703999996185302,0.7591999769210815,0.1017000004649162,0.815500020980835,0.0828000009059906,25.182396,3.085601,15.315095,3.1752276
Portugal,0.5842000246047974,0.2617999911308288,0.1541000008583068,0.8392999768257141,0.0262000001966953,0.1343999952077865,0.2340999990701675,0.6283000111579895,0.1376000046730041,-71.46766,39.432972,-3.3542469,-8.558791
Romania,0.1868000030517578,0.6761000156402588,0.1370999962091446,0.3490000069141388,0.1023000031709671,0.5486999750137329,0.1190999969840049,0.7803000211715698,0.1006999984383583,-29.872581,4.680955,-3.7798831,-6.4779844
Sweden,0.1436000019311905,0.6739000082015991,0.1826000064611435,0.0754999965429306,0.0529999993741512,0.871399998664856,0.0882999971508979,0.8219000101089478,0.0898000001907348,46.893642,-7.831954,14.446668,3.7793531
Slovenia,0.2396000027656555,0.5110999941825867,0.2492000013589859,0.4498000144958496,0.1246000006794929,0.425599992275238,0.1448999941349029,0.7559999823570251,0.0991000011563301,-41.046913,21.45813,-3.1134453,-7.31427
