country,Climate policy measures,Energy Efficiency,Renewable electricity policy,Energy efficiency measures,energy efficiency measures,Energy efficiency measures,EU Energy Policy,Climate policy targets,Climate policy,Austria's energy sector,c1,c2,u1,u2
France,0.0513999983668327,0.0599000006914138,0.5285000205039978,0.0527999997138977,0.0471000000834465,0.0494000017642974,0.0573000013828277,0.0401000007987022,0.0538000017404556,0.0595999993383884,10.124126,2.1809983,10.520091,8.257676
Malta,0.0812999978661537,0.0939999967813491,0.0744000002741813,0.0956000015139579,0.1617999970912933,0.1120000034570694,0.0846000015735626,0.1518000066280365,0.0741000026464462,0.0703999996185302,8.919747,-0.8595181,9.815632,7.874621
Luxembourg,0.1835999935865402,0.0681999996304512,0.0841000005602836,0.0786999985575676,0.0738999992609024,0.070200003683567,0.1406999975442886,0.0863000005483627,0.1275999993085861,0.0866999998688697,10.212236,-3.6247659,8.180834,8.13847
Lithuania,0.1089000031352043,0.0976999998092651,0.0816000029444694,0.1224000006914138,0.101000003516674,0.120399996638298,0.1068999990820884,0.0991000011563301,0.0785000026226043,0.0833000019192695,8.22519,-2.0916133,9.551132,6.9497604
Latvia,0.0967999994754791,0.0879999995231628,0.0948000028729438,0.0939999967813491,0.1040999963879585,0.1159999966621398,0.1402000039815902,0.1009000018239021,0.0821999981999397,0.0828000009059906,8.940105,-2.3090184,8.98697,7.525073
Italy,0.0474000014364719,0.5669000148773193,0.0494999997317791,0.0447000004351139,0.0509999990463256,0.0555999986827373,0.0417000018060207,0.0410000011324882,0.0410000011324882,0.0614000000059604,4.9649796,-2.8673599,10.709198,5.5886936
Ireland,0.0808999985456466,0.0697999969124794,0.0775000005960464,0.0705000013113021,0.0732000023126602,0.0689999982714653,0.0812999978661537,0.1335999965667724,0.277999997138977,0.0662000030279159,13.5193615,-1.9577004,5.3934236,8.20528
Hungary,0.1057000011205673,0.0991000011563301,0.1040999963879585,0.1124999970197677,0.1086999997496604,0.1068999990820884,0.0957000032067298,0.0864000022411346,0.0788000002503395,0.1020999997854232,7.8649592,-2.729964,9.510249,6.320657
Greece,0.1036999970674514,0.1335999965667724,0.0939999967813491,0.1008000001311302,0.1289999932050705,0.1019999980926513,0.0913000032305717,0.0876000002026557,0.0736000016331672,0.0843999981880188,7.1684275,-2.4574623,10.127114,6.198654
Spain,0.0953999981284141,0.1953999996185302,0.1208000034093856,0.092299997806549,0.0988999977707862,0.1002999991178512,0.0703999996185302,0.0782999992370605,0.0604999996721744,0.0877000018954277,5.966133,-2.578419,10.563898,5.851784
Netherlands,0.0852999985218048,0.047699999064207,0.0641999989748001,0.0463000014424324,0.0469999983906745,0.0474000014364719,0.0755999982357025,0.1119000017642974,0.4065999984741211,0.067900002002716,14.180544,-2.3521798,5.3755965,8.508046
Poland,0.1004000008106231,0.0982000008225441,0.1022000014781951,0.1071999967098236,0.0934000015258789,0.1546999961137771,0.090499997138977,0.0819000005722045,0.0781000033020973,0.0934000015258789,7.5947,-1.6196007,10.214258,6.777773
Portugal,0.0640000030398368,0.1084000021219253,0.3501999974250793,0.0674000009894371,0.0700000002980232,0.0707999989390373,0.0636999979615211,0.0854000002145767,0.0535999983549118,0.066600002348423,10.092094,2.1560721,10.27039,8.378738
Romania,0.0513000003993511,0.0711999982595443,0.049600001424551,0.0627999976277351,0.0623000003397464,0.5113999843597412,0.0469000004231929,0.045499999076128,0.0447999984025955,0.0542000010609626,7.0060053,0.5297009,10.828764,7.2605553
Sweden,0.1186999976634979,0.0807000026106834,0.0926999971270561,0.0860000029206276,0.0903000012040138,0.0829999968409538,0.1149000003933906,0.1351999938488006,0.1133000031113624,0.0851000025868415,10.090164,-2.4710567,8.535084,8.3857355
Slovenia,0.1255999952554702,0.0991000011563301,0.0935000032186508,0.1032000035047531,0.0984999984502792,0.0944000035524368,0.0966999977827072,0.0983999967575073,0.0948999971151351,0.0957000032067298,8.551409,-3.0399878,8.925839,6.9418335
Slovakia,0.0723000019788742,0.0988000035285949,0.0958999991416931,0.1254000067710876,0.1479000002145767,0.091399997472763,0.0706000030040741,0.0917999967932701,0.064300000667572,0.1415999978780746,7.067132,-3.6085448,9.914989,5.8655305
