country,energy efficiency measures,Transmission of natural gas,EU energy project,Renewable energy grid,Energy poverty project,renewable energy sources,Project plan development.,Natural gas industry,Project cost increase,energy efficiency measures,Transmission of natural gas,EU energy project,Renewable energy grid,Energy poverty project,renewable energy sources,Project plan development.,Natural gas industry,Project cost increase,energy efficiency measures,Transmission of natural gas,EU energy project,Renewable energy grid,Energy poverty project,renewable energy sources,Project plan development.,Natural gas industry,Project cost increase,c1,c2,u1,u2
France,0.1159000024199485,0.0995000004768371,0.1028999984264373,0.1106000021100044,0.1093000024557113,0.135900005698204,0.1108999997377395,0.1015999987721443,0.1133000031113624,0.1189000010490417,0.0852999985218048,0.0944999977946281,0.1057000011205673,0.1040999963879585,0.2106000036001205,0.0976999998092651,0.0839999988675117,0.099200002849102,0.0307000000029802,0.0284000001847744,0.023199999704957,0.0277999993413686,0.0233999993652105,0.7854999899864197,0.0249000005424022,0.032999999821186,0.0230000000447034,4.5618443,-8.913356,12.186376,12.816077
Malta,0.0979000031948089,0.0882999971508979,0.1103999987244606,0.1106000021100044,0.1110000014305114,0.1212000027298927,0.1120999976992607,0.1085999980568885,0.1398999989032745,0.1315000057220459,0.0781000033020973,0.0997999981045723,0.1213999986648559,0.1216999962925911,0.1062999963760376,0.1030000001192092,0.0870999991893768,0.1510999947786331,0.0975999981164932,0.1229000017046928,0.1115000024437904,0.1062999963760376,0.1037999987602233,0.1089999973773956,0.1151999980211258,0.1164000034332275,0.1172000020742416,3.7784956,-0.2967641,11.557023,12.939295
Luxembourg,0.121299996972084,0.0956000015139579,0.1053000018000602,0.1123000010848045,0.1127000004053115,0.1120999976992607,0.1112999990582466,0.1041999980807304,0.1252000033855438,0.1467999964952469,0.0775000005960464,0.0891000032424926,0.1325999945402145,0.1260000020265579,0.1033999994397163,0.1040000021457672,0.0864000022411346,0.134100005030632,0.0948000028729438,0.1331000030040741,0.1102999970316886,0.1089000031352043,0.0993999987840652,0.1054999977350235,0.1178999990224838,0.1204999983310699,0.1094999983906745,1.3507686,-1.7116368,9.766603,12.840003
Lithuania,0.092299997806549,0.0891000032424926,0.1771000027656555,0.1045000031590461,0.1112999990582466,0.0894000008702278,0.1230000033974647,0.0939000025391578,0.1193000003695488,0.1084999963641166,0.0808999985456466,0.1497000008821487,0.1269000023603439,0.0803999975323677,0.1357000023126602,0.1190999969840049,0.0903000012040138,0.1084999963641166,0.0694999992847442,0.1674000024795532,0.1976999938488006,0.0797000005841255,0.066500000655651,0.093299999833107,0.1022000014781951,0.1430999934673309,0.0806000009179115,4.66925,6.0357814,12.540818,13.172754
Latvia,0.100500002503395,0.1002999991178512,0.1675000041723251,0.1032000035047531,0.0988999977707862,0.1067000031471252,0.1086999997496604,0.1042999997735023,0.1101000010967254,0.1374000012874603,0.0926999971270561,0.1396999955177307,0.1079000011086463,0.1039000004529953,0.1102999970316886,0.1039000004529953,0.0961000025272369,0.1080000028014183,0.0535000003874301,0.0762000009417533,0.4952000081539154,0.0483999997377395,0.0432999990880489,0.0821999981999397,0.0531000010669231,0.0961000025272369,0.0520000010728836,-7.5524473,12.121822,5.8507614,10.495363
Italy,0.1292999982833862,0.0653999969363212,0.0763999968767166,0.1655000001192093,0.1643999963998794,0.128600001335144,0.0986000001430511,0.06700000166893,0.1048000007867813,0.2506000101566314,0.045899998396635,0.0538999997079372,0.2904999852180481,0.0754999965429306,0.1150999963283538,0.061999998986721,0.0485000014305114,0.0579999983310699,0.0710000023245811,0.1768999993801117,0.0898000001907348,0.1149000003933906,0.0825999975204467,0.1054000034928321,0.1195999979972839,0.1536999940872192,0.0860000029206276,11.815983,2.3021054,14.216043,13.067542
Ireland,0.1055999994277954,0.0557999983429908,0.0803999975323677,0.0940999984741211,0.2495999932289123,0.1054000034928321,0.1004000008106231,0.065700002014637,0.1429000049829483,0.148399993777275,0.049600001424551,0.0645999982953071,0.0869000032544136,0.3239000141620636,0.0961000025272369,0.0777999982237815,0.0540000014007091,0.0986000001430511,0.064300000667572,0.1079000011086463,0.0856999978423118,0.0732000023126602,0.0816999971866607,0.0910999998450279,0.2669000029563904,0.1174999997019767,0.1116999983787536,9.25624,-5.606429,13.88257,12.695531
Hungary,0.0935999974608421,0.0926000028848648,0.0910999998450279,0.1023000031709671,0.1177999973297119,0.0903000012040138,0.0920000001788139,0.2115000039339065,0.1089000031352043,0.1275999993085861,0.0756999999284744,0.0798999965190887,0.1032000035047531,0.2128999978303909,0.0856999978423118,0.0844999998807907,0.1298999935388565,0.1005999967455864,0.0293000005185604,0.0460000000894069,0.0308999996632337,0.031199999153614,0.0300999991595745,0.0344999991357326,0.0313999988138675,0.7360000014305115,0.0308999996632337,-2.5385766,9.0848465,7.463743,12.399866
Spain,0.1121999993920326,0.1008000001311302,0.1137000024318695,0.1159000024199485,0.1155000030994415,0.1224000006914138,0.1068999990820884,0.0961000025272369,0.1165999993681907,0.2019000053405761,0.0593999996781349,0.094200000166893,0.1307000070810318,0.1159999966621398,0.1120999976992607,0.0882000029087066,0.0584000013768672,0.1391000002622604,0.0632999986410141,0.3625999987125397,0.1260000020265579,0.0626000016927719,0.0458000004291534,0.1086999997496604,0.0684999972581863,0.093299999833107,0.0692000016570091,-6.1326137,-3.2629225,6.00837,10.863181
Netherlands,0.119499996304512,0.0782999992370605,0.1076000034809112,0.1234999969601631,0.1317999958992004,0.1118000000715255,0.1172999963164329,0.0998999997973442,0.1103999987244606,0.1411000043153762,0.0802000015974044,0.1049999967217445,0.1149000003933906,0.1229000017046928,0.1055999994277954,0.1224000006914138,0.0926999971270561,0.1151999980211258,0.0586000010371208,0.1093999966979026,0.093699999153614,0.0821999981999397,0.0716999992728233,0.0816000029444694,0.1260000020265579,0.2949999868869781,0.0817999988794326,-1.1903213,5.2077546,8.306373,12.887609
Poland,0.0881000012159347,0.1045000031590461,0.1084000021219253,0.1383000016212463,0.1088000014424324,0.0983999967575073,0.1444000005722046,0.0908000022172927,0.1184000000357627,0.0865999981760978,0.0722000002861023,0.0788000002503395,0.3447000086307525,0.0804999992251396,0.0701000019907951,0.1396999955177307,0.0494000017642974,0.0780000016093254,0.0531999990344047,0.2833000123500824,0.0894000008702278,0.0615999996662139,0.0467000007629394,0.1001999974250793,0.1207000017166137,0.1832000017166137,0.0617000013589859,13.060202,5.973342,14.163589,13.129534
Portugal,0.1238000020384788,0.0785000026226043,0.1067000031471252,0.1152999997138977,0.1366000026464462,0.1067000031471252,0.1079000011086463,0.0817999988794326,0.1427000015974044,0.2284999936819076,0.0586999990046024,0.0822999998927116,0.1115000024437904,0.1626999974250793,0.0943000018596649,0.0866999998688697,0.0599000006914138,0.1154000014066696,0.0749000012874603,0.1965000033378601,0.1273999959230423,0.0870999991893768,0.0734999999403953,0.1237000003457069,0.1114000007510185,0.1128999963402748,0.0926000028848648,-1.3858851,-3.9738727,8.014705,12.59286
Romania,0.0961999967694282,0.1233000010251998,0.1097000017762184,0.1032999977469444,0.1395999938249588,0.0848999992012977,0.1149000003933906,0.0829000025987625,0.1453000009059906,0.1563999950885772,0.138600006699562,0.0644999966025352,0.100100003182888,0.2113000005483627,0.0709000006318092,0.09009999781847,0.0588999986648559,0.1093000024557113,0.0432999990880489,0.588699996471405,0.0478999987244606,0.0494999997317791,0.0469000004231929,0.0483999997377395,0.0546999983489513,0.0719999969005584,0.0485000014305114,-11.775534,-4.065388,4.907962,10.761191
Sweden,0.0895000025629997,0.0864000022411346,0.1353999972343444,0.1054000034928321,0.128600001335144,0.0952000021934509,0.1116999983787536,0.0982000008225441,0.1495999991893768,0.1124000027775764,0.0712999999523162,0.1011999994516372,0.1145000010728836,0.1362999975681305,0.0970999971032142,0.1247000023722648,0.0816999971866607,0.1606999933719635,0.0736000016331672,0.1172999963164329,0.1599999964237213,0.1006999984383583,0.0863000005483627,0.0983999967575073,0.1266999989748001,0.1297000050544738,0.1071999967098236,5.926222,-2.272978,12.995891,12.645717
Slovenia,0.1160999983549118,0.0962999984622001,0.0948000028729438,0.1036000028252601,0.1150999963283538,0.1204999983310699,0.1042999997735023,0.155799999833107,0.093299999833107,0.1283999979496002,0.1035000011324882,0.098700001835823,0.1171000003814697,0.1178999990224838,0.1191999986767768,0.1085999980568885,0.0997999981045723,0.1068999990820884,0.0581000000238418,0.2415000051259994,0.0612000003457069,0.0680000036954879,0.0566999986767768,0.0868000015616417,0.0738999992609024,0.2989999949932098,0.0549000017344951,-4.5809593,4.919797,6.4042125,11.6343
Slovakia,0.0773999989032745,0.1039000004529953,0.0940999984741211,0.1023000031709671,0.3273999989032745,0.0710000023245811,0.0859000012278556,0.064699999988079,0.0732999965548515,0.1684000045061111,0.0763000026345253,0.1032000035047531,0.1189000010490417,0.1627999991178512,0.0945999994874,0.099600002169609,0.0706999972462654,0.1054000034928321,0.0621000006794929,0.3921999931335449,0.0790999978780746,0.0772999972105026,0.068400003015995,0.0785000026226043,0.0852999985218048,0.0966000035405159,0.0604000017046928,-8.979953,-1.6282982,5.2725163,10.589463
