country,National energy policy,Renewable energy consumption,National development plan,Electricity consumption,energy production costs,Climate change policy,Electricity target increase,Transport emissions,Electricity transport system,transport policy,National energy policy,Renewable energy consumption,National development plan,Electricity consumption,energy production costs,Climate change policy,Electricity target increase,Transport emissions,Electricity transport system,transport policy,National energy policy,Renewable energy consumption,National development plan,Electricity consumption,energy production costs,Climate change policy,Electricity target increase,Transport emissions,Electricity transport system,transport policy,c1,c2,u1,u2
Luxembourg,0.0854000002145767,0.1272000074386596,0.0816000029444694,0.1344999969005584,0.1008000001311302,0.0908999964594841,0.1152999997138977,0.1083000004291534,0.0780000016093254,0.0780000016093254,0.0608000010251998,0.0281000006943941,0.0971999987959861,0.0295000001788139,0.0381000004708766,0.5558000206947327,0.0337000004947185,0.0228000003844499,0.0648000016808509,0.0690999999642372,0.0852999985218048,0.1251000016927719,0.0803999975323677,0.123999997973442,0.1028999984264373,0.0841000005602836,0.1044000014662742,0.1358000040054321,0.0785000026226043,0.0795999988913536,-68.81362,193.09358,1.2095134,9.473509
Lithuania,0.0771000012755394,0.1746000051498413,0.0535000003874301,0.0873999968171119,0.0803000032901763,0.0584999993443489,0.1264999955892563,0.0988000035285949,0.0627000033855438,0.1806000024080276,0.0227000005543231,0.0189999993890523,0.0223999992012977,0.0173000004142522,0.023199999704957,0.0298999994993209,0.0187999997287988,0.023199999704957,0.0249000005424022,0.7986000180244446,0.0410999990999698,0.0498000010848045,0.0372000001370906,0.0423999987542629,0.050500001758337,0.0346000008285045,0.0423000007867813,0.6032999753952026,0.0383000001311302,0.0604000017046928,297.2318,-109.5411,5.1904635,16.644276
Italy,0.1474000066518783,0.132200002670288,0.0560000017285347,0.1941000074148178,0.0812999978661537,0.0706999972462654,0.1050999984145164,0.0732000023126602,0.0810000002384185,0.0588999986648559,0.5939000248908997,0.0230000000447034,0.0469000004231929,0.0254999995231628,0.050000000745058,0.0825999975204467,0.0255999993532896,0.0206000003963708,0.070200003683567,0.0617999993264675,0.0905999988317489,0.1860000044107437,0.0649000033736229,0.1124000027775764,0.09740000218153,0.064300000667572,0.0935000032186508,0.1491000056266784,0.0731000006198883,0.0687000006437301,-241.00859,23.990715,-0.070154026,7.948805
Ireland,0.0710000023245811,0.1030000001192092,0.167600005865097,0.1317999958992004,0.0738999992609024,0.0733999982476234,0.1597999930381775,0.0766000002622604,0.0680000036954879,0.0747999995946884,0.0322999991476535,0.0179999992251396,0.7508999705314636,0.0189999993890523,0.0249000005424022,0.0458000004291534,0.0207000002264976,0.0176999997347593,0.0386000014841556,0.0320999994874,0.064699999988079,0.133200004696846,0.0804999992251396,0.1071000024676323,0.0790999978780746,0.0617999993264675,0.093299999833107,0.258899986743927,0.0621000006794929,0.0593999996781349,79.214195,237.45558,6.666135,15.608492
Hungary,0.0856000036001205,0.1292999982833862,0.0804999992251396,0.124899998307228,0.0833000019192695,0.0768999978899955,0.1536999940872192,0.0866999998688697,0.0838000029325485,0.0953999981284141,0.1041999980807304,0.0615999996662139,0.1979999989271164,0.0649000033736229,0.0759000033140182,0.1086999997496604,0.0851999968290329,0.0498999990522861,0.1123000010848045,0.1391000002622604,0.0610000006854534,0.1666000038385391,0.0557000003755092,0.0926000028848648,0.0847000032663345,0.0524999983608722,0.0863000005483627,0.2874999940395355,0.0573999993503093,0.0557000003755092,10.585817,-60.29925,2.582125,10.178604
Spain,0.0842000022530555,0.063799999654293,0.0847000032663345,0.0988000035285949,0.0733999982476234,0.0869000032544136,0.1289000064134597,0.0681999996304512,0.2040999978780746,0.1070000007748603,0.0454000011086463,0.0208999998867511,0.0313999988138675,0.025399999693036,0.0416000001132488,0.0485000014305114,0.0255999993532896,0.023199999704957,0.6808000206947327,0.0571999996900558,0.0586000010371208,0.0820999965071678,0.0489000007510185,0.3528999984264374,0.095499999821186,0.0498000010848045,0.0732000023126602,0.1084000021219253,0.0773999989032745,0.0531999990344047,-419.4588,-1206.735,0.17266668,7.6134057
Netherlands,0.0794000029563903,0.0692000016570091,0.1405999958515167,0.1278000026941299,0.093299999833107,0.2232999950647354,0.0741999968886375,0.047699999064207,0.0819000005722045,0.0627000033855438,0.0882999971508979,0.0516999997198581,0.147599995136261,0.0833000019192695,0.065200001001358,0.3113999962806701,0.0608999989926815,0.0410999990999698,0.0768000036478042,0.0737000033259391,0.0573999993503093,0.1513999998569488,0.0553000010550022,0.200200006365776,0.0857999995350837,0.0595999993383884,0.0733999982476234,0.2117999941110611,0.0540000014007091,0.0509999990463256,-140.49501,94.686295,-0.36522898,7.9914927
Poland,0.0944999977946281,0.1081999987363815,0.0733999982476234,0.1420000046491623,0.0758000016212463,0.0768000036478042,0.1620000004768371,0.0861999988555908,0.0812000036239624,0.0998999997973442,0.0819000005722045,0.0294000003486871,0.1581999957561493,0.0377999991178512,0.0430999994277954,0.1150999963283538,0.0535000003874301,0.0277999993413686,0.092299997806549,0.3607999980449676,0.0560999996960163,0.0847999975085258,0.0461000017821788,0.062399998307228,0.0711999982595443,0.0425999984145164,0.0615999996662139,0.4781999886035919,0.0476000010967254,0.0493000000715255,102.185555,-122.601746,6.222041,15.929536
Portugal,0.0970999971032142,0.0837000012397766,0.0815000012516975,0.1237000003457069,0.0712999999523162,0.0777999982237815,0.1194000020623207,0.050500001758337,0.241699993610382,0.0533999986946582,0.0298999994993209,0.0185000002384185,0.0288999993354082,0.019200000911951,0.0217000003904104,0.048599999397993,0.0199999995529651,0.017799999564886,0.760200023651123,0.0351999998092651,0.0803000032901763,0.1369999945163726,0.0668999999761581,0.101400002837181,0.0772999972105026,0.0658999979496002,0.1013000011444091,0.1959999948740005,0.1030000001192092,0.0709000006318092,723.8794,1012.64166,5.0630574,17.02635
Romania,0.0753000006079673,0.1908999979496002,0.0621000006794929,0.1548999994993209,0.0751999989151954,0.0603000000119209,0.1541000008583068,0.0986000001430511,0.0705000013113021,0.0582000017166137,0.1102999970316886,0.0566000007092952,0.0970999971032142,0.0447000004351139,0.0487999990582466,0.1298000067472458,0.0750000029802322,0.034800000488758,0.1854999959468841,0.2173999994993209,0.0689999982714653,0.227400004863739,0.0560000017285347,0.0926999971270561,0.0733999982476234,0.0575999990105629,0.0855000019073486,0.2178999930620193,0.0606000013649463,0.0599999986588954,-22.823093,0.10363533,1.9726297,9.630918
