country,Renewable energy sources,National Oil Risk,Capacity increase,Market Regulation Act,Renewable energy sources,National Oil Risk,Capacity increase,Market Regulation Act,Renewable energy sources,National Oil Risk,Capacity increase,Market Regulation Act,c1,c2,u1,u2
Lithuania,0.1835999935865402,0.3055999875068664,0.2592000067234039,0.2515000104904175,0.0908000022172927,0.5498999953269958,0.1815000027418136,0.1777999997138977,0.4674000144004822,0.135900005698204,0.2879000008106231,0.1088000014424324,-4.64147,-37.37104,1.8324839,20.646343
Latvia,0.396699994802475,0.193900004029274,0.2126999944448471,0.1967000067234039,0.1618999987840652,0.3450999855995178,0.2286999970674514,0.2644000053405761,0.6184999942779541,0.135000005364418,0.1124000027775764,0.134100005030632,27.527498,33.77807,-4.5956926,0.02344293
Italy,0.0573000013828277,0.1643999963998794,0.6668999791145325,0.1114000007510185,0.0632999986410141,0.4916999936103821,0.2346999943256378,0.2102999985218048,0.6215999722480774,0.1251000016927719,0.1396999955177307,0.1136000007390976,20.104855,-62.81255,-5.5273433,0.0057384763
Ireland,0.1149000003933906,0.6431000232696533,0.1158000007271766,0.1262000054121017,0.0754999965429306,0.6843000054359436,0.1011999994516372,0.1389999985694885,0.7490000128746033,0.0817999988794326,0.0898000001907348,0.0793000012636184,-47.018192,-71.412766,0.4873698,24.104156
Hungary,0.1949000060558319,0.0702999979257583,0.1225999966263771,0.6121000051498413,0.0471000000834465,0.0292000006884336,0.0557999983429908,0.867900013923645,0.8057000041007996,0.0447000004351139,0.0641999989748001,0.0854000002145767,80.19986,36.713135,-2.8881915,-0.15797202
Spain,0.3591000139713287,0.2423000037670135,0.2240999937057495,0.1745000034570694,0.0653999969363212,0.4914999902248382,0.1266999989748001,0.3163999915122986,0.4785000085830688,0.2363000065088272,0.1480000019073486,0.1370999962091446,-22.814072,11.747487,1.0985978,23.47609
Netherlands,0.3465999960899353,0.1823000013828277,0.2791000008583069,0.19200000166893,0.2242999970912933,0.2626000046730041,0.2484000027179718,0.2646999955177307,0.6815999746322632,0.0732000023126602,0.1495999991893768,0.0956000015139579,26.813297,55.915565,-4.992946,0.34360704
Poland,0.1985000073909759,0.1000000014901161,0.567300021648407,0.1342000067234039,0.0304000005125999,0.0719999969005584,0.7620999813079834,0.1354999989271164,0.8539000153541565,0.0306000001728534,0.0817999988794326,0.0337000004947185,7.0077395,100.96248,1.3347697,19.557808
Portugal,0.2203000038862228,0.301499992609024,0.3199000060558319,0.1582999974489212,0.0582999996840953,0.6087999939918518,0.1032999977469444,0.2295999974012375,0.6740999817848206,0.1243999972939491,0.1133000031113624,0.0882999971508979,7.1211615,-5.884498,1.0466521,19.861849
Romania,0.1728000044822693,0.2091999948024749,0.4650000035762787,0.152999997138977,0.0416000001132488,0.1841000020503997,0.682699978351593,0.0917000025510788,0.5906000137329102,0.1369999945163726,0.1662999987602234,0.1061000004410743,22.080751,96.85751,-5.212959,-0.3898254
Sweden,0.0905999988317489,0.5471000075340271,0.1666000038385391,0.195700004696846,0.0579000003635883,0.6219000220298767,0.0917999967932701,0.228300005197525,0.6740000247955322,0.0850000008940696,0.1553000062704086,0.0856999978423118,-28.595392,-67.91756,1.3833448,23.891726
Slovenia,0.3441999852657318,0.1841000020503997,0.2129999995231628,0.2587000131607055,0.2187999933958053,0.2809999883174896,0.2424000054597854,0.2578000128269195,0.7257999777793884,0.0623000003397464,0.0965000018477439,0.1155000030994415,12.069598,43.008823,1.6609243,19.22224
Slovakia,0.0364999994635582,0.1553000062704086,0.2669000029563904,0.5411999821662903,0.0847999975085258,0.3957000076770782,0.2293000072240829,0.2901000082492828,0.2786000072956085,0.1133999973535537,0.4709999859333038,0.1368999928236007,48.192123,-29.90081,-3.9592836,-0.19842
