country,NO&T Poland's energy sector,NO&T Climate change policy,NO&T New Climate Plan,NO&T National electricity sector investment,NO&T Electricity cost and tax,P&M Poland's energy sector,P&M Climate change policy,P&M New Climate Plan,P&M National electricity sector investment,P&M Electricity cost and tax,CS&RP Poland's energy sector,CS&RP Climate change policy,CS&RP New Climate Plan,CS&RP National electricity sector investment,CS&RP Electricity cost and tax,c1,c2,u1,u2
France,0.1032000035047531,0.3899999856948852,0.2517000138759613,0.154799997806549,0.1004000008106231,0.1083000004291534,0.5390999913215637,0.1606000065803527,0.1092000007629394,0.0828000009059906,0.1847999989986419,0.2309000045061111,0.2122000008821487,0.1949000060558319,0.1772000044584274,5.6538286,-1.2364815,1.3415288,3.1910806
Malta,0.1791000068187713,0.2146999984979629,0.1965000033378601,0.2345000058412552,0.1750999987125396,0.1676999926567077,0.240799993276596,0.2064999938011169,0.2257999926805496,0.1590999960899353,0.1632999926805496,0.1518000066280365,0.1415999978780746,0.2038999944925308,0.3393999934196472,2.6080155,-3.7905445,0.1375332,2.8183215
Luxembourg,0.1850000023841858,0.2381000071763992,0.2094999998807907,0.2064000070095062,0.1609999984502792,0.1469999998807907,0.2680000066757202,0.2840000092983246,0.1800000071525573,0.1209999993443489,0.1876000016927719,0.186499997973442,0.1842000037431717,0.2167000025510788,0.2249000072479248,3.3775566,-1.9436938,0.9148104,2.2416608
Lithuania,0.1817000061273574,0.2299000024795532,0.2526000142097473,0.2062000036239624,0.1296000033617019,0.1670999974012375,0.2371000051498413,0.225600004196167,0.226500004529953,0.1437000036239624,0.1858000010251999,0.1401000022888183,0.128600001335144,0.2239000052213668,0.3217000067234039,2.0354984,-3.676376,5.5840483,8.990447
Latvia,0.1889999955892563,0.2221000045537948,0.2012999951839447,0.2055999934673309,0.181999996304512,0.1687999963760376,0.2624000012874603,0.2300000041723251,0.2000000029802322,0.1386999934911728,0.1881999969482422,0.2177000045776367,0.1913000047206878,0.2337999939918518,0.1689999997615814,3.0688732,-1.2248014,0.6319441,2.6901705
Italy,0.1541000008583068,0.2106000036001205,0.3091000020503998,0.2173999994993209,0.1086999997496604,0.1154000014066696,0.2474000006914138,0.195700004696846,0.3370999991893768,0.1044000014662742,0.1036000028252601,0.0667999982833862,0.0653999969363212,0.607699990272522,0.1564999967813491,-0.887658,-4.604698,3.0016186,15.446614
Ireland,0.1580000072717666,0.2076999992132187,0.2269999980926513,0.2362000048160553,0.1711000055074691,0.1254999935626983,0.2167000025510788,0.303299993276596,0.1982000023126602,0.1562000066041946,0.1247999966144561,0.0839999988675117,0.0847999975085258,0.0966999977827072,0.6097000241279602,1.8879014,-7.3969016,5.116629,9.46744
Hungary,0.1917999982833862,0.1994999945163726,0.2080000042915344,0.2143000066280365,0.1863999962806701,0.18469999730587,0.2763000130653381,0.2475000023841858,0.1626999974250793,0.1287000030279159,0.2524999976158142,0.0923999994993209,0.0957000032067298,0.1692000031471252,0.3901000022888183,1.1587125,-4.724351,3.9875817,11.214779
Spain,0.137700006365776,0.2030999958515167,0.4424000084400177,0.1230000033974647,0.0938000008463859,0.0684999972581863,0.1460999995470047,0.6388999819755554,0.0857999995350837,0.0606000013649463,0.1762000024318695,0.1626999974250793,0.158500000834465,0.2339999973773956,0.2685999870300293,-0.36966968,0.94186354,2.9183338,15.237153
Netherlands,0.1404999941587448,0.1604000031948089,0.4788999855518341,0.1150999963283538,0.1050999984145164,0.1164999976754188,0.0948999971151351,0.6294999718666077,0.0797000005841255,0.0794000029563903,0.5138999819755554,0.069700002670288,0.0741999968886375,0.2108000069856643,0.131400004029274,-1.3707025,0.23470981,2.48476,15.014748
Poland,0.2542999982833862,0.2055999934673309,0.2066999971866607,0.1967000067234039,0.1366000026464462,0.4047999978065491,0.2082999944686889,0.1680999994277954,0.120399996638298,0.0984999984502792,0.843999981880188,0.0425000004470348,0.0377000011503696,0.0357000008225441,0.0401999987661838,-0.7044135,-2.5436583,2.3827188,15.323004
Portugal,0.1624999940395355,0.2459000051021576,0.2267999947071075,0.202000007033348,0.1627999991178512,0.1283999979496002,0.2777999937534332,0.2678999900817871,0.2009000033140182,0.125,0.1805000007152557,0.1061000004410743,0.1077999994158744,0.1995999962091446,0.4061000049114227,1.9119517,-4.915621,5.5138016,9.227231
Romania,0.1705999970436096,0.2089000046253204,0.2070000022649765,0.2558999955654144,0.157600000500679,0.1660999953746795,0.2511000037193298,0.2335000038146972,0.2045000046491623,0.1448000073432922,0.1728000044822693,0.1729999929666519,0.1738000065088272,0.1976999938488006,0.2827999889850616,2.9575136,-2.99335,0.5935003,2.9938877
Sweden,0.1764000058174133,0.2189999967813491,0.2117000073194503,0.2215999960899353,0.1712999939918518,0.1074000000953674,0.3233999907970428,0.3249000012874603,0.1421999931335449,0.1019999980926513,0.1713999956846237,0.1629000008106231,0.169400006532669,0.183799996972084,0.3125,4.0665636,-2.4728546,1.5110263,2.6558514
Slovenia,0.1577000021934509,0.2621999979019165,0.2396000027656555,0.2006999999284744,0.1397999972105026,0.1450999975204467,0.2658999860286712,0.2401999980211258,0.2047999948263168,0.1439999938011169,0.2711000144481659,0.1305000036954879,0.1023000031709671,0.1842000037431717,0.3118999898433685,1.030089,-3.4520988,4.284714,11.37355
Slovakia,0.2075999975204467,0.1841000020503997,0.1521999984979629,0.2330999970436096,0.2229000031948089,0.1958000063896179,0.2309000045061111,0.1872999966144561,0.2056999951601028,0.18019999563694,0.1058000028133392,0.0617000013589859,0.0586999990046024,0.0781999975442886,0.6955999732017517,1.7770602,-8.197518,4.791953,9.893855
