country,renewable energy sources,National gas supply,Market Capacity Development,renewable energy sources,National gas supply,Market Capacity Development,renewable energy sources,National gas supply,Market Capacity Development,c1,c2,u1,u2
Italy,0.2324000000953674,0.2707000076770782,0.4968999922275543,0.2171999961137771,0.4828000068664551,0.2998999953269958,0.4395000040531158,0.2736000120639801,0.2869000136852264,12.8134985,-30.227423,6.321837,7.2756906
Ireland,0.2626999914646148,0.4485000073909759,0.2888000011444092,0.2372000068426132,0.4855999946594238,0.2772000133991241,0.5529999732971191,0.214599996805191,0.2324000000953674,-16.40262,-8.141999,14.571358,-3.640604
Hungary,0.2515999972820282,0.1982000023126602,0.5501999855041504,0.0873000025749206,0.1199999973177909,0.7926999926567078,0.6075999736785889,0.1471000015735626,0.2452999949455261,45.739212,15.096786,2.2924573,7.294245
Spain,0.3732999861240387,0.3111999928951263,0.3154000043869018,0.1729999929666519,0.5843999981880188,0.2425999939441681,0.4363000094890594,0.2946000099182129,0.26910001039505,-5.2204194,12.916163,13.348929,-1.3126024
Netherlands,0.4040000140666961,0.2694000005722046,0.3265999853610992,0.328900009393692,0.3434000015258789,0.3276999890804291,0.5705000162124634,0.1905000060796737,0.238999992609024,37.221867,-14.395262,3.4543464,7.1359334
Poland,0.3488999903202057,0.2413000017404556,0.4097999930381775,0.1291999965906143,0.1817999929189682,0.6890000104904175,0.7631999850273132,0.0945999994874,0.1421999931335449,50.922096,9.778222,2.7514856,6.656236
Portugal,0.3510000109672546,0.3055999875068664,0.3433000147342682,0.1877000033855438,0.4695000052452087,0.3427999913692474,0.5253999829292297,0.2410999983549118,0.2336000055074691,13.006621,6.0574903,6.395635,6.908297
Romania,0.3172000050544739,0.2973999977111816,0.3853999972343445,0.188400000333786,0.2822000086307525,0.5293999910354614,0.4336999952793121,0.273499995470047,0.2928000092506408,30.567554,5.01137,4.0418606,7.129996
Sweden,0.263700008392334,0.4266000092029571,0.3097000122070312,0.2090000063180923,0.5327000021934509,0.2583000063896179,0.52920001745224,0.2119999974966049,0.2587999999523163,-16.819237,-0.6021899,14.366571,-4.072455
Slovenia,0.3937999904155731,0.277999997138977,0.3280999958515167,0.3269999921321869,0.3391999900341034,0.3337999880313873,0.6710000038146973,0.1559000015258789,0.1730999946594238,45.60095,-16.509085,2.2677047,6.825668
Slovakia,0.1397999972105026,0.5756000280380249,0.2845999896526336,0.2275999933481216,0.3856000006198883,0.3869000077247619,0.4029000103473663,0.2587999999523163,0.3382999897003174,-11.402263,-25.400461,14.218205,-3.1523993
